cfips,p,q,d,testset_smaller_smape
18115,1,1,1,1.6703557018698891
18121,1,3,3,0.8890819882569752
18123,3,1,2,0.695370379745239
18131,1,1,3,0.94401990799266
18133,2,2,3,0.3018256004438301
18137,1,3,3,0.3545149327075115
18143,1,1,1,0.4186966571342913
18155,3,1,2,0.7174254515243965
18163,2,3,3,0.4003427456113142
18165,1,1,2,0.6685612435828798
18169,1,3,3,0.7139682408107375
18171,2,1,2,1.4032395423279396
19005,1,2,2,0.7735707664406588
19007,1,2,2,1.1028140313409054
19013,3,2,1,0.2947920822426941
19015,3,3,3,0.4040992728223809
19021,2,3,2,0.6920112921444365
19023,1,1,1,0.9856053563419316
19025,3,3,1,0.7750156104754001
19033,1,3,2,0.2015755189126725
19035,1,2,1,0.5967101032493468
19037,3,1,3,0.3302241587728889
19041,2,2,3,0.6815766135866103
19047,1,3,3,0.6190732057514194
19049,3,3,1,0.3518205297739405
19053,1,1,1,0.4640885594602752
19059,2,2,3,0.353432667526013
19061,1,1,1,1.4876851281645536
19067,1,3,1,0.4031056250450573
19071,1,2,1,1.572501076108154
19075,2,3,2,0.7768705669700222
19077,3,2,2,1.193596262829154
19083,1,1,2,0.7230102203142439
19087,3,1,3,1.1808688452203335
19097,1,1,1,2.6542733759096784
19099,3,2,3,1.4257448867638745
19101,3,3,1,0.1604942541152624
19109,1,1,1,0.5122747694131657
19115,1,1,3,0.8465159316242764
19117,2,3,2,1.3564586032481067
19119,3,2,1,0.2518306493894376
19121,3,2,2,0.3010046744753249
19123,1,2,2,0.7011923405320659
19125,3,1,2,0.1623187577784952
19127,2,3,1,0.3872139880060627
19129,1,3,1,0.3045907235963855
19131,1,2,3,2.2762070074444347
19133,1,3,3,1.1854188972548374
19135,3,3,2,2.370568723025537
19137,2,3,1,0.7586726211711124
19139,2,1,1,1.0284616202358725
19143,1,1,3,5.60634671422644
19145,1,3,3,0.7848325368682768
19147,1,3,2,3.1410807884294965
19151,1,1,1,0.6465899511697992
19155,2,1,2,0.5830200850284581
19167,1,2,2,0.1188309354098061
19171,2,3,2,5.469229812560384
19189,2,2,3,0.3395978433883245
20001,1,1,3,0.6123525345059568
20009,3,1,2,0.1657390177609774
20011,1,3,1,0.8000293482097419
20013,2,1,2,0.6409662957442573
20019,3,3,2,0.290025282086673
20029,2,1,3,0.4524897394035153
20035,3,1,3,0.3432237187574652
20037,2,2,3,1.719246035512746
20051,2,1,2,0.4096072675569526
20053,3,3,3,2.0490456881602728
20057,1,2,2,0.5192375163992716
20067,1,2,2,4.883651645139773
20069,3,2,3,0.820542292092594
20071,1,1,2,2.6386562114900875e-05
20073,2,1,3,2.821570745983007
20079,2,1,3,0.3239464930141872
20085,3,3,2,0.4165335593040833
20091,3,3,3,0.2157991275597398
20095,1,1,1,0.7938847685349946
20103,2,2,1,0.4744586784953885
20107,2,2,3,1.0620436143153311
20109,3,3,3,16.407301682243443
20111,3,2,3,0.131273109702209
20117,1,2,2,0.5200777972753222
20123,2,2,3,0.571613395725379
20129,3,2,1,0.1936724679963416
20131,2,3,1,0.9851637469894649
20133,2,1,1,0.9291316900209654
20137,3,3,1,0.6424588447894511
20141,1,1,1,2.184595649153705
20147,1,3,2,0.9672289433085272
20155,1,1,3,0.3653365764078326
20159,2,1,2,1.1424810699820491
20171,2,1,2,0.4724422795047933
20187,1,3,1,0.0023270362064643
20193,3,3,1,0.066411508701271
20195,1,2,1,3.5315654174414304
20203,3,1,2,0.1714196337989085
20209,3,2,2,0.259820293213226
21005,3,2,2,0.4380255399902748
21011,3,3,3,0.9924413713062562
21013,1,2,2,0.3493889684450073
21019,1,1,1,0.5847030678250982
21021,2,3,1,0.8221609445540771
21031,3,2,2,0.1290625914668626
21037,1,1,1,0.109445358063741
21045,2,3,1,0.6025904240898919
21053,2,2,3,0.2152640433880714
21057,1,2,3,1.1695200005285238
21061,3,1,2,1.1130780883118547
21063,1,1,3,1.837146839084946
21069,3,1,3,6.702406020141555
21071,3,1,3,0.3553453372197366
21077,1,2,2,3.0796029527551423
21081,1,3,2,0.9157585792336695
21093,1,3,3,0.3847626561375695
21099,1,1,3,0.9603513475107726
