cfips,p,q,d,testset_smaller_smape
41055,1,1,1,2.0364707518460725
41057,1,2,2,0.3695535082748304
41061,1,1,3,0.1019928028769685
41063,3,1,3,0.2670644919230556
41069,1,3,3,1.7199913349357705
42009,2,1,2,0.3650241394139428
42011,2,1,3,0.1334442942763267
42013,1,1,1,0.1497496533722569
42021,2,3,2,0.2078654880565528
42033,1,3,3,0.2077507859070585
42039,3,3,2,0.3427315753748209
42053,3,1,3,0.9712178721082504
42061,1,3,3,0.4227999391566869
42065,2,1,3,0.3567501660409415
42071,1,3,2,0.8503728226438425
42077,3,3,3,0.353121724570338
42081,1,3,2,0.327036059863069
42083,2,1,1,0.3864270646921583
42087,1,3,3,0.7691261157646971
42105,2,1,3,0.3640245830082995
42109,2,1,3,0.231494738001509
42115,2,2,2,1.6667199725249198
42117,2,1,2,0.2233855261020959
42121,2,1,2,0.7808924077620071
42123,3,2,2,0.6314022697816358
42125,2,3,3,0.2281749656897903
42131,1,2,1,0.3295826600573558
44009,1,3,3,0.2591709342373902
45005,1,1,1,2.4354287786753948
45027,3,1,2,0.9003137744103628
45029,2,2,3,0.9200362426775972
45035,3,3,2,0.8782685102691232
45037,1,3,2,0.8598037752325385
45041,1,3,3,0.2828270090247398
45057,3,3,1,0.3831952689109457
45059,3,2,2,0.8944928681402919
45061,1,1,1,1.4629429923256012
45067,3,2,3,1.339559331394492
45069,1,2,1,0.5401147761963334
45075,3,1,2,0.9652276715915608
45081,1,3,2,2.318589651285083
45089,2,3,1,0.3771683210799982
46007,2,2,1,1.400076970842721
46013,3,3,3,0.4365037783025945
46015,3,3,2,0.7928020931269877
46017,1,3,3,6.611328973034852
46027,2,1,2,0.3219379696944943
46035,2,2,3,1.6253086440006212
46037,3,2,2,1.072457018916545
46041,2,1,3,0.5186425781370331
46045,3,1,1,0.0002179483061406
46049,3,3,2,1.3083509333007153
46055,2,1,2,1.765475420072543
46063,2,1,1,0.7003222332840562
46069,1,1,1,1.8966092115991693
46071,1,1,2,0.9222258868761608
46073,1,1,1,1.4888677928072491
46075,1,1,2,1.8539710644189888
46077,2,1,2,0.6758456339130561
46079,3,3,2,0.1673516085579614
46081,2,2,2,0.481051418439594
46083,3,3,3,0.2224551876997693
46085,2,2,3,8.846417917239094
46087,1,3,2,1.172826717301363
46089,3,3,3,3.908109584018915
46091,2,1,3,1.6436039961513222
46095,1,3,3,3.6100490832344976
46097,1,2,3,0.9842310870042328
46099,3,1,3,0.1589923964322163
46101,1,2,3,0.3740160474537853
46115,1,1,1,0.6361435215758915
46119,3,1,1,0.7946160810773045
46121,3,1,2,2.2131126012970825
46123,3,1,3,0.2731352897503828
46127,3,3,2,1.2890486190004795
46129,1,1,2,0.6586765671223849
46137,2,3,2,6.948720811991195
47007,1,3,3,1.9870578872586044
47021,2,3,1,0.3742390599066312
47023,1,3,2,0.4897598967533634
47025,1,3,2,1.5686967995788208
47033,1,2,1,5.717612225732675
47041,3,1,2,0.6816443074860374
47051,1,3,1,0.8536643180864137
47053,2,3,3,0.3178155457781758
47061,2,3,1,0.8310361842384973
47063,2,2,3,0.6871446427185877
47065,2,1,3,0.3145919419248176
47079,3,2,3,0.7479402444478047
47085,1,1,1,0.4232279970100904
47095,1,2,2,2.875343826172612
47097,1,1,3,0.4464532530682009
47103,2,3,1,5.663185166461177
47109,3,1,3,1.2083450769543775
47113,2,3,2,0.2915390059924992
47119,2,3,1,0.4019033802060163
47123,2,2,3,0.8302138095643526
47129,1,2,3,1.684384213817576
47145,2,1,1,0.4777955610007197
47153,2,2,2,0.9537018234872516
47155,1,3,3,0.4754200248852321
47157,1,2,1,0.4698850842063348
47163,2,1,3,0.2130927674632623
47165,3,3,3,0.4134408733582125
47171,3,1,3,0.8029584972796128
47175,3,1,3,1.5706505165840896
47179,3,3,1,0.3917669738708556
47183,2,3,3,0.7264830438802238
47185,1,3,1,5.026807459847184
47187,1,3,3,0.3148616917166401
48009,3,3,1,0.8421022895598753
48013,2,3,3,0.5292582622839065
48019,3,1,1,0.7303461071739012
48023,3,3,1,0.6700562173309913
48033,1,1,1,0.0
48037,2,1,2,0.7854465569056647
48049,3,1,3,3.0507880882793192
48059,2,3,3,1.4839551227115306
48065,2,2,3,1.9128392514031831
48067,3,1,1,0.4288865503298662
48075,2,3,2,0.5278642684668807
48083,2,2,3,2.477641218282755
48085,3,3,3,0.3394810381520827
48093,1,3,1,0.9912005278955798
48099,3,1,2,0.6257752758035444
48101,1,2,2,1.578846718398084
48105,1,1,1,1.1488339673933363
48107,1,2,3,0.6501203130693524
48109,2,1,1,5.912624872161522
48113,3,3,1,0.30068209627928
48115,2,2,3,3.0700894354570143
48117,2,3,1,1.266864822401108
48129,2,1,1,0.3938532522855356
48135,2,3,1,0.4012136115302083
48137,1,2,1,0.8681143919752746
48159,1,1,1,1.363919026043284
48163,2,3,1,1.9459556637042468
48165,3,1,2,1.9201355066189307
48173,3,3,1,2.789828008372788
48175,1,2,1,0.6137684768672215
48177,3,1,2,0.2959511757887174
48179,3,3,3,0.2808247224580408
48189,3,3,1,3.212940157444578
48193,1,3,1,0.8023842194579485
48195,1,3,1,1.8743829688298252
48199,2,3,2,1.1566546601123673
48205,2,1,1,1.481986133885932e-09
48207,3,1,2,1.098138789093798
48217,1,1,3,0.3590489017345132
48221,3,1,1,2.688302161982333
48223,3,1,3,0.1631602119164292
48225,3,3,3,1.0533646309164348
48233,1,2,3,0.3880825923875616
48235,3,2,1,1.659814328054002
48239,2,1,1,0.8386906757848043
48243,2,3,1,1.165588267067878
48245,1,2,2,0.5310509840314587
48247,1,1,1,2.183188250233936
48261,1,1,1,0.0012724666405362
48263,2,3,2,2.135338940828861
48269,1,1,1,0.0
48275,3,3,3,3.313652229637369
48277,3,2,1,0.2503755813887394
48281,2,2,1,0.7320259740380894
48287,2,3,2,1.0246873071556402
48291,3,2,1,1.0464705970396904
48293,1,2,2,0.6462829807300836
48295,2,2,2,0.8949917620355968
48301,1,3,1,1.8565806290787697e-06
48303,3,3,1,0.4242756651973016
48305,1,2,2,1.385320588854051
48311,3,1,3,6.144017625908427
48313,1,2,3,1.9024280890467091
48321,3,2,3,0.506951485411023
48345,1,1,1,11.947582789367504
48349,1,3,3,0.7006042533168835
48357,2,3,3,1.066635707444458
48359,3,1,2,2.3721382638195005
48363,1,3,3,1.2897599313050454
48365,3,1,3,2.423916132774633
48379,2,2,3,0.6673082335130326
48381,1,3,2,0.4566085729406355
48391,1,2,1,0.8139502784923751
48395,3,1,2,0.5872707421444687
48399,3,2,3,0.8623230302855056
48401,2,2,3,0.193189505396623
48409,2,1,2,0.5234912090941666
48415,2,1,3,0.7104175208751251
48417,2,2,2,0.4371625884061806
48419,3,1,3,0.7447961741767991
48421,1,1,1,14.128326508581868
48435,1,1,3,0.9076190970753244
48437,3,1,3,0.596764178350326
48441,3,2,2,0.4928772220416286
48455,2,1,2,0.3384384745621686
48463,3,1,2,0.7591978647642982
48469,3,2,1,0.3975788823184167
48473,2,3,2,0.861085289722893
48475,3,2,2,0.2274065643737643
48479,1,3,2,0.6811557915121865
48481,3,2,3,1.987249838000157
48485,1,3,2,0.6059708720161218
48491,1,3,1,0.615117350128815
48495,1,2,3,0.8349394569060576
48499,1,2,1,0.5306721766608494
48503,1,1,1,0.2375660014975679
49001,2,1,1,1.292408327676693
49003,3,3,1,0.6491707449970402
49007,1,2,3,0.3728225586754168
49011,1,3,1,0.2408062312395287
49017,2,1,3,2.345179615824593
49023,1,3,2,0.4927339923476926
49025,3,1,1,9.16113423034032
49031,1,3,1,0.4334292152254999
49033,1,3,2,1.2070408308458735
49039,2,1,2,0.1750176047959311
50001,2,1,1,0.2438185146577878
50005,1,3,2,0.2826051146404377
50009,3,1,2,0.3404395561587827
50011,1,1,1,0.3249058922285081
50017,1,2,2,0.4221348296157473
50025,3,1,3,0.646163841402609
50027,2,3,1,1.919278006689936
51003,2,3,1,0.200204030363836
51005,3,2,3,1.3459224932328324
51007,1,3,1,0.6272170157918949
51011,2,2,3,0.3303549550720113
51015,2,1,2,0.3887956833160373
51019,2,1,1,0.6164011131018342
51025,1,3,3,0.3732461696929989
51029,1,2,2,0.7728652821174227
51031,3,1,3,0.6209515777870704
51035,1,2,1,0.756838416623595
51036,3,1,3,0.9122211238475364
51043,3,1,3,0.5457668906068068
51053,1,3,3,1.07090984643345
51071,1,1,3,0.9301110162532612
51075,2,2,3,0.3461926107335539
51077,1,2,2,0.5138356470753876
51081,3,2,1,1.5360655729809187
51083,3,2,3,1.9288424701569813
51085,1,3,3,0.9096618889229148
51091,1,3,1,1.5147489800407574
51095,2,3,3,0.6749638624587176
51105,1,3,3,1.3069466012902424
51107,3,3,1,0.2750833541701789
51115,3,2,3,0.4210386264647601
51121,1,1,3,4.832341782846081
51135,1,2,3,0.5174247397298016
51147,2,1,1,0.3941384314346136
51149,3,2,1,1.000793666459382
51155,3,3,2,0.4457820655267857
51159,3,2,1,2.0892517210482238
51163,1,1,1,0.35502418509552
51165,1,2,1,0.730154712705189
51171,1,1,3,0.5441776072663753
51175,1,3,1,1.1312971557934064
51177,1,1,2,0.6228257112294047
51185,3,1,1,0.9591123769388876
51187,2,3,3,0.4357234217748668
51199,3,2,1,0.3145186435579493
51510,3,2,1,0.3760633526525486
51520,3,3,2,0.3922791861455674
51540,1,3,3,0.3813666053114901
51590,1,1,1,1.3706974284772928
51630,1,3,3,0.3472648683378271
51680,1,2,3,0.3721531497052251
51683,3,2,2,0.3800200737934929
51710,3,3,3,0.494180720617619
51730,3,1,3,0.4510635110316929
51735,1,1,1,0.7157006335740103
51740,2,2,1,0.5606637139145071
51790,3,1,3,0.3968589518619214
51810,3,3,1,0.7735721744441162
53011,1,3,1,0.6643670685723486
53017,3,2,3,0.5236318973238939
53021,1,1,1,0.3314300318267638
53023,2,1,3,0.3053987853333845
53025,1,1,2,0.5804625615914915
53027,3,2,1,0.4507873571722078
53029,2,1,3,0.4880946370063733
53031,2,3,2,0.2585746939123614
53033,1,1,1,7.671572908972012
53037,1,1,1,0.4227888406951229
53039,1,2,2,0.1794961116047318
53045,2,3,3,0.4065340993013038
53047,1,1,2,0.7560017475611731
53051,2,3,3,0.1291192705514307
53053,2,3,3,0.2973362217289018
53061,1,1,2,0.3082154118889481
53067,1,1,3,0.4018308877740727
53071,3,1,1,0.1290439341067695
54001,1,1,1,0.8330854469277109
54005,3,1,2,1.1356240989338615
54011,3,3,1,0.4724164575346682
54015,2,1,2,1.734164506233587
54021,3,2,1,1.0344369222804788
54023,3,3,3,2.0243351919507124
54033,3,1,3,0.3202351985201805
54039,1,1,3,0.2212271702228527
54047,1,2,3,2.196103340377876
54049,3,1,2,0.7146405704393349
54051,3,3,3,2.1746368433703656
54053,2,2,2,5.641277016038052
54059,2,2,3,0.2716899824119081
54075,1,3,3,0.4935821022535079
54083,2,2,3,0.5249751355435024
54085,1,3,1,1.0284877698257515
54087,3,2,3,0.9806839583407646
54089,2,3,1,0.6262657352745407
54091,3,1,2,2.016704962835925
54095,1,3,1,1.957622926431636
54109,1,1,1,1.4087634935100002
55013,2,3,2,1.173077375139478
55015,3,2,3,0.3183560257141524
55017,2,3,1,1.0755946463147263
55019,2,2,2,0.6430662726722985
55031,1,3,3,0.2767558634175021
55043,1,2,2,1.0134614905148136
55047,1,3,3,0.5413014287518625
55057,2,3,3,0.6586294090604187
55059,1,3,1,0.5570150039818778
55061,2,3,3,0.5125578070436129
55063,2,3,1,0.2423937577543953
55071,1,1,1,0.3651870073896943
55073,3,3,2,4.520219739868047
55075,2,2,3,0.4714546096827633
55079,2,2,2,0.3576014654325288
55085,1,2,3,0.5110296374110311
55091,2,1,3,0.1959729192754954
55105,3,3,1,0.372296374265756
55111,2,1,3,0.5346678267774863
55117,2,2,1,0.1215782979880309
55123,3,1,3,0.3338375303582874
55127,3,1,3,1.7438638475461898
55139,1,3,3,0.2954062973304965
56003,2,3,3,0.4413686397611504
56013,1,3,3,0.9842975872684608
56015,2,1,3,0.4586508615196264
56019,2,1,2,0.1435806676887883
56023,2,3,3,0.8881739960664452
56031,2,1,3,0.6791818658652417
56043,2,3,2,1.2931694705555048
56045,1,1,3,0.1861627051626967
